iso,family,nodes,edges,density
amc,pano1259,670,2338,0.010432144211677041
qva,quec1387,754,2795,0.009845674772175666
arl,zapa1251,515,2502,0.01890370594235201
qxu,quec1387,538,1890,0.013083840418682893
cni,araw1281,512,2003,0.015311582681017613
prq,araw1281,253,966,0.030303030303030304
kwi,barb1265,728,2272,0.00858563719636622
quy,quec1387,636,2212,0.010954291090972118
qvc,quec1387,593,2063,0.011753110614830682
qud,quec1387,456,1637,0.01577983420088683
cbu,,569,2142,0.013255278596004852
cot,araw1281,679,2463,0.010700275000977491
hns,indo1319,487,2593,0.021911256453807218
cbr,pano1259,526,2733,0.019793590439978272
cbs,pano1259,253,973,0.03052261747913922
nhn,utoa1244,599,2914,0.01627014924539785
maz,otom1299,294,1631,0.03786770680968633
cbi,barb1265,921,4344,0.010253505169239485
cic,musk1252,298,962,0.021738639188303616
csa,otom1299,397,2068,0.026308424293310942
qug,quec1387,695,2432,0.010084382062073684
qxa,quec1387,731,2523,0.009455990105503813
cof,barb1265,420,1934,0.02197977042845778
quz,quec1387,662,2021,0.009237125841556554
ike,eski1264,618,1600,0.008392209931131427
ese,pano1259,520,1422,0.010538016896398399
cab,araw1281,475,1995,0.017721518987341773
gyr,tupi1275,441,1775,0.018295196866625438
ztu,otom1299,320,1477,0.02893808777429467
qvh,quec1387,842,3098,0.008749904677442587
hus,maya1287,325,1710,0.03247863247863248
hva,book1242,423,2065,0.023136477205248
hsf,book1242,530,2667,0.019024860006420088
qwh,quec1387,600,2173,0.012092376182526433
mzi,otom1299,570,2070,0.012764776616409212
kal,eski1264,681,1936,0.008361406236503412
cak,maya1287,449,2593,0.025781498568246897
kek,maya1287,401,1874,0.023366583541147134
quc,maya1287,485,2640,0.022492970946579195
mam,maya1287,434,2108,0.022434839986803037
qvm,quec1387,639,2257,0.011072355414268965
mcf,pano1259,589,2660,0.015360983102918587
mxv,otom1299,389,1806,0.02393130681366443
ote,otom1299,305,1619,0.03492234685073339
zam,otom1299,225,1334,0.052936507936507934
mic,algi1248,571,2003,0.012308354072571973
miq,misu1242,393,2188,0.028405255231863737
huu,huit1251,383,1787,0.024428253113337798
nav,atha1245,776,2613,0.008689723977386099
not,araw1281,382,1594,0.02190433002157453
ojb,algi1248,584,1947,0.011437063840785733
qxn,quec1387,665,2510,0.011368783404293868
qvn,quec1387,674,2310,0.010185140277159272
chj,otom1299,332,1768,0.032177046554799256
pbb,,663,2420,0.011027418171544704
top,toto1251,537,2253,0.01565496539648128
pap,indo1319,477,2204,0.01941405493014816
gug,tupi1275,570,1955,0.012055622359942035
cpu,araw1281,859,3750,0.010176087009614367
ppl,utoa1244,352,2085,0.03375097125097125
sey,tuca1253,492,2215,0.018338218005397977
mcd,pano1259,455,1565,0.015152248632424844
shp,pano1259,826,3810,0.011182038300682368
snn,tuca1253,506,2216,0.01734434312996517
csw,algi1248,492,1837,0.01520871624194857
tob,guai1249,517,2652,0.019882146552111915
toj,maya1287,513,2360,0.01797027290448343
mto,mixe1284,447,1832,0.018378627822754588
tzh,maya1287,507,2330,0.01816466699409843
tzc,book1242,627,2763,0.014078909152055277
ura,,381,1763,0.02435419256803426
auc,,374,2012,0.028845464581152957
guc,araw1281,482,1950,0.0168218010541662
ame,araw1281,696,3272,0.01352848755478376
guu,yano1268,388,1781,0.02372199579104398
yua,maya1287,462,2436,0.02287517254979294
zro,zapa1251,256,1449,0.04439338235294118
